"sample" "raw_reads" "pf_reads" "aligned_reads" "uniquely_aligned" "r_squared"
"1" "kc167_dmso_control_polii_chipnexus_spikein_1" 50367225 45323642 33489001 32839969 0.982
"2" "kc167_dmso_control_polii_chipnexus_spikein_2" 60753874 54225842 41182813 40493567 0.982
"3" "kc167_dmso_nelfe_chipnexus_1" 66055484 57003324 42399566 39331570 0.925
"4" "kc167_dmso_nelfe_chipnexus_2" 28142735 23536842 17738145 10858968 0.925
"5" "kc167_dmso_polii_chipnexus_1" 51506284 45260709 32713360 31687336 0.972
"6" "kc167_dmso_polii_chipnexus_2" 44474257 39421854 27226774 26515507 0.972
"7" "kc167_dmso_taf2_chipnexus_1" 27615761 26099296 11935966 8867953 0.944
"8" "kc167_dmso_taf2_chipnexus_2" 69474222 60378714 37182953 35118131 0.944
"9" "kc167_dmso_tbp_chipnexus_1" 34308181 31562031 19482290 17021565 0.948
"10" "kc167_dmso_tbp_chipnexus_2" 42035326 39877758 23999110 8637932 0.948
"11" "kc167_dmso_tfiia_chipnexus_1" 88390232 77035411 46390877 41107057 0.998
"12" "kc167_dmso_tfiia_chipnexus_2" 61060678 53756202 33282489 30902354 0.998
"13" "kc167_dmso_tfiib_chipnexus_1" 39193769 36468644 25343480 21360921 0.869
"14" "kc167_dmso_tfiib_chipnexus_2" 41159305 38774942 24720185 14087637 0.869
"15" "kc167_dmso_tfiif_chipnexus_1" 26034300 25055941 12644852 6490679 0.918
"16" "kc167_dmso_tfiif_chipnexus_2" 38546116 36513377 19961712 7163041 0.918
"17" "kc167_dmso_xpb_chipnexus_1" 27444816 26410482 15462556 7258046 0.918
"18" "kc167_dmso_xpb_chipnexus_2" 41379406 39594430 24960938 8661151 0.918
"19" "kc167_drb_50um_polii_chipnexus_1" 41039480 36619267 24802789 24142606 0.966
"20" "kc167_drb_50um_polii_chipnexus_2" 41759489 36626314 25788324 25041204 0.966
"21" "kc167_egfp_rnai_polii_chipnexus_spikein_1" 37314359 33240409 22186191 21533884 0.994
"22" "kc167_egfp_rnai_polii_chipnexus_spikein_2" 62548291 55376433 39152973 37850736 0.994
"23" "kc167_flavopiridol_0.5um_polii_chipnexus_1" 41718789 37181319 25324984 24655251 0.848
"24" "kc167_flavopiridol_0.5um_polii_chipnexus_2" 42790057 37488226 26910617 26115928 0.848
"25" "kc167_flavopiridol_polii_chipnexus_1" 0 25061084 11277952 6781628 0.977
"26" "kc167_flavopiridol_polii_chipnexus_2" 0 35491604 16471939 12845138 0.977
"27" "kc167_nelfe_b_rnai_polii_chipnexus_spikein_1" 36736259 32801900 21589767 20984091 0.995
"28" "kc167_nelfe_b_rnai_polii_chipnexus_spikein_2" 54515876 48467638 33346514 32214441 0.995
"29" "kc167_triptolide_10min_polii_chipnexus_spikein_1" 39789783 35461605 27201115 26814567 0.981
"30" "kc167_triptolide_10min_polii_chipnexus_spikein_2" 20140681 17722095 13273738 13137715 0.981
"31" "kc167_triptolide_20min_polii_chipnexus_spikein_1" 34276369 30565199 23080308 22765757 0.96
"32" "kc167_triptolide_20min_polii_chipnexus_spikein_2" 21374089 18833981 14227691 14022077 0.96
"33" "kc167_triptolide_30min_polii_chipnexus_spikein_1" 76515727 69112612 52153638 50552565 0.955
"34" "kc167_triptolide_30min_polii_chipnexus_spikein_2" 31483045 27281495 20475458 20229156 0.955
"35" "kc167_triptolide_5min_polii_chipnexus_spikein_1" 40241894 35713917 27050367 26644102 0.979
"36" "kc167_triptolide_5min_polii_chipnexus_spikein_2" 23485160 20791751 15509479 15310124 0.979
"37" "kc167_triptolide_nelfe_chipnexus_1" 55779413 48276164 35675575 32467972 0.88
"38" "kc167_triptolide_nelfe_chipnexus_2" 38249409 33232813 22865361 20915091 0.88
"39" "kc167_triptolide_polii_chipnexus_1" 25151875 24005461 16164911 11275865 0.888
"40" "kc167_triptolide_polii_chipnexus_2" 34586183 31339389 14660565 11052892 0.888
"41" "kc167_triptolide_taf2_chipnexus_1" 28472379 27228243 15154299 7464603 0.956
"42" "kc167_triptolide_taf2_chipnexus_2" 39566435 37884448 21778231 17008792 0.956
"43" "kc167_triptolide_tbp_chipnexus_1" 17083794 16095381 9642493 5567671 0.911
"44" "kc167_triptolide_tbp_chipnexus_2" 36319496 32253370 20700891 11413966 0.911
"45" "kc167_triptolide_tfiia_chipnexus_1" 27572472 25187368 14072528 9647929 0.966
"46" "kc167_triptolide_tfiia_chipnexus_2" 46781726 40839904 18379739 12453994 0.966
"47" "kc167_triptolide_tfiib_chipnexus_1" 36982177 34554109 24627955 22345288 0.943
"48" "kc167_triptolide_tfiib_chipnexus_2" 27606088 24794568 13078465 10595177 0.943
"49" "kc167_triptolide_tfiif_chipnexus_1" 24013530 23163379 16992900 9223448 0.956
"50" "kc167_triptolide_tfiif_chipnexus_2" 24134703 22625711 9927555 6310976 0.956
"51" "kc167_triptolide_xpb_chipnexus_1" 26411031 25310595 17284283 7609049 0.95
"52" "kc167_triptolide_xpb_chipnexus_2" 26340308 23673096 15001656 5357934 0.95
