"fb_t_id" "fb_g_id" "gene" "half_life" "rank" "quantile" "dmso_polii" "dmso_tbp" "dmso_tfiib" "dmso_tfiif" "dmso_nelfe" "pro_cap" "DPE" "DRE" "Inr" "MTE" "PB" "TATA" "Motif1" "Motif6" "Motif7" "TCT"
"850" "FBtr0082482" "FBgn0013276" "Hsp70Ab" "1.43" 1 "q1" 7.41600958790082 5.62337397608132 4.09516679825715 5.06598492349142 5.92758385830487 "T" "F" "F" "F" "F" "F" "F" "F" "F" "T" "F"
"449" "FBtr0076496" "FBgn0001225" "Hsp26" "1.75" 2 "q1" 9.01727277394502 8.55189644465684 7.81125561343566 9.06117871336787 7.70177791729153 "T" "F" "F" "F" "F" "F" "T" "F" "F" "F" "F"
"891" "FBtr0083057" "FBgn0266599" "Hsc70-4" "1.87" 3 "q1" 9.15752140915567 8.9345409942694 7.51499981994442 8.20781629139447 8.93921860201774 "T" "F" "F" "F" "F" "F" "T" "F" "F" "F" "F"
"2324" "FBtr0346541" "FBgn0001226" "Hsp27" "1.88" 4 "q1" 8.01984476587023 8.75916150624755 7.49533728706134 8.24400533067188 7.15568657247984 "T" "F" "F" "F" "F" "F" "T" "F" "F" "F" "F"
"204" "FBtr0073040" "FBgn0001233" "Hsp83" "2.04" 5 "q1" 8.90742857906545 8.43319608667269 8.73067523308515 9.79406839551502 7.72174621176439 "T" "F" "F" "F" "F" "F" "T" "F" "F" "T" "F"
"481" "FBtr0077123" "FBgn0263106" "DnaJ-1" "2.22" 6 "q1" 8.38243593312079 8.45466555625697 8.02564819192507 8.89685743839198 7.77617448430094 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1817" "FBtr0309504" "FBgn0001224" "Hsp23" "2.57" 7 "q1" 8.33607014762171 8.04174828794836 7.71732709389406 7.34464072882953 6.59486435770827 "T" "F" "F" "T" "F" "F" "T" "F" "F" "F" "F"
"2085" "FBtr0336783" "FBgn0020910" "RpL3" "2.71" 8 "q1" 8.28996486294495 9.33995991462126 9.7467589085606 9.91117283168171 7.21578226388113 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "T"
"1157" "FBtr0086774" "FBgn0027836" "Dgp-1" "2.87" 9 "q1" 8.44831919896938 8.13717840308128 8.57987048137443 9.36678576457077 7.17696998357336 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"543" "FBtr0078221" "FBgn0037000" "ZnT77C" "2.92" 10 "q1" 6.77470581200238 5.36584020082173 4.84360091413924 4.7754878192056 6.22995098898633 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"1256" "FBtr0087978" "FBgn0024732" "Drep-1" "2.94" 11 "q1" 7.28104926182529 8.49220741769365 6.42334635425565 7.1809738807206 6.23177781949907 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"473" "FBtr0076918" "FBgn0040837" "CG8620" "3.03" 12 "q1" 8.65931008394184 8.72688481699254 8.38284521835704 9.53513250573743 7.83180782515667 "T" "F" "F" "F" "F" "F" "T" "F" "F" "F" "F"
"694" "FBtr0079905" "FBgn0004867" "RpS2" "3.13" 13 "q1" 7.11122094996103 5.70816492879707 7.17453509839263 7.53276309754316 6.55488302728131 "T" "F" "T" "F" "F" "F" "F" "F" "F" "T" "F"
"230" "FBtr0073424" "FBgn0003360" "sesB" "3.2" 14 "q1" 8.67222724045049 7.49647189061057 7.39072486758275 7.43804586552855 7.60248186216955 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1166" "FBtr0086889" "FBgn0034262" "swi2" "3.29" 15 "q1" 5.883911863863 5.9188747110302 5.20192388145848 5.92186805582412 5.47027988820945 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1795" "FBtr0308296" "FBgn0017545" "RpS3A" "3.31" 16 "q1" 7.0784626088126 6.37322791965942 7.49461691611791 7.17012811447924 6.43924937493173 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1219" "FBtr0087592" "FBgn0013770" "Cp1" "3.32" 17 "q1" 7.74113818943294 6.35244840375106 7.88164195417031 6.93510919491681 6.97189462777361 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2214" "FBtr0343758" "FBgn0003285" "rst" "3.47" 18 "q1" 6.03876470344992 5.23480962979192 3.95062390810849 4.86593643939293 5.39171922987923 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1952" "FBtr0333094" "FBgn0032429" "CG5446" "3.74" 19 "q1" 7.43887137352882 6.1651659278743 5.969907549861 6.17258304381471 6.88289746469302 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"132" "FBtr0072151" "FBgn0020764" "Alas" "3.88" 20 "q1" 6.30557884627302 6.00562671336304 6.69617175448441 6.97539996767695 5.28462050858307 "T" "F" "F" "F" "F" "F" "F" "F" "T" "T" "F"
"1321" "FBtr0088683" "FBgn0033342" "CG8258" "3.94" 21 "q1" 6.55019182134991 5.07958857623245 5.51943231035222 5.27146963280226 6.20205478910191 "T" "F" "T" "F" "F" "F" "F" "F" "F" "T" "F"
"79" "FBtr0071374" "FBgn0267253" "CG32700" "3.97" 22 "q1" 6.34362151694164 5.45389607758282 5.10866146981567 4.73851292745829 5.48396092404047 "T" "T" "F" "T" "F" "F" "F" "F" "F" "T" "F"
"1337" "FBtr0088901" "FBgn0033224" "Nop17l" "3.99" 23 "q1" 7.78790374848366 7.362814939039 6.2263293312353 7.10426160380863 6.69516090311537 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1347" "FBtr0088958" "FBgn0033188" "Drat" "4.01" 24 "q1" 8.38335439382437 7.79167429565833 7.12288993195012 7.56854178662776 7.48042932679574 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1822" "FBtr0310045" "FBgn0021872" "Xbp1" "4.02" 25 "q1" 7.16978113824673 6.0209107495682 6.26385767990263 6.3530093874577 6.83110908513056 "T" "F" "T" "F" "F" "T" "F" "F" "F" "F" "F"
"506" "FBtr0077721" "FBgn0031461" "daw" "4.1" 26 "q1" 7.53503463564119 7.3686653260924 5.92578162388818 6.26597468513708 6.57556209048032 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"1451" "FBtr0100559" "FBgn0001223" "Hsp22" "4.13" 27 "q1" 7.51849391428028 7.15493702019765 7.24995738584925 7.73224311757986 6.05479839205811 "T" "F" "F" "T" "F" "F" "T" "F" "T" "F" "F"
"1063" "FBtr0085397" "FBgn0003525" "stg" "4.19" 28 "q1" 8.1458120485852 8.95389306565075 8.13260368472254 8.37929012597517 7.17856739810121 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"529" "FBtr0078083" "FBgn0043364" "cbt" "4.36" 29 "q1" 9.68726588674503 8.49410751585843 9.04047473293246 8.80119923464983 8.75472491363706 "T" "F" "F" "T" "F" "F" "F" "F" "F" "T" "F"
"765" "FBtr0081163" "FBgn0086444" "l(2)37Cb" "4.39" 30 "q1" 5.13884080677096 4.55125867452852 4.53077615193423 4.07796028737965 4.95650831661761 "T" "F" "F" "F" "F" "F" "F" "F" "F" "T" "F"
"249" "FBtr0073777" "FBgn0030482" "CG1673" "4.45" 31 "q1" 7.81414214031964 7.58302898604567 6.97158777032962 6.81112476202513 7.50039674002702 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2327" "FBtr0346630" "FBgn0033735" "CG8525" "4.49" 32 "q1" 5.00402074295779 4.09615308046912 4.6001565815169 4.77170398478899 4.78233921495937 "T" "F" "F" "F" "F" "T" "F" "F" "F" "F" "F"
"582" "FBtr0078708" "FBgn0037354" "CG12171" "4.63" 33 "q1" 6.36786738179591 5.26818079570285 6.37015463940374 6.49037386908488 5.71414832064904 "T" "F" "T" "T" "F" "F" "F" "F" "F" "F" "F"
"1366" "FBtr0089329" "FBgn0025885" "Inos" "4.68" 34 "q1" 9.05794006653868 8.84798836603097 8.25620747004104 8.01608176593922 8.29379615302371 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"281" "FBtr0074230" "FBgn0003416" "sl" "4.7" 35 "q1" 5.56948632427798 4.44035560877236 4.93297259678543 4.73122058965323 4.90111669871706 "T" "F" "F" "F" "F" "F" "F" "F" "T" "F" "F"
"988" "FBtr0084447" "FBgn0039109" "CG10365" "4.79" 36 "q1" 5.10704287393574 4.77214563989864 4.9433418304147 5.12509906487426 5.58819954918841 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2159" "FBtr0340319" "FBgn0086710" "RpL30" "4.87" 37 "q1" 8.41902592029868 7.29191934097888 8.96488889099401 9.27182368901827 7.50736835354314 "T" "F" "F" "F" "F" "F" "F" "F" "T" "F" "T"
"1979" "FBtr0333428" "FBgn0040153" "l(1)G0469" "4.98" 38 "q1" 8.10358813163932 7.89874407991107 5.8866974715371 6.47192396367056 7.89028494002684 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1989" "FBtr0333536" "FBgn0014857" "His3.3A" "5.19" 39 "q1" 5.98383682527611 5.74050918284666 5.57505920160507 5.6512350849012 6.02473568487581 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"2311" "FBtr0346126" "FBgn0052647" "CG32647" "5.22" 40 "q1" 6.41189664329116 4.61245807117907 4.74414919715352 4.58087483964945 6.1645504551873 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"172" "FBtr0072597" "FBgn0035162" "CG13900" "5.24" 41 "q1" 7.29236780446765 6.09096800176053 8.41627643181994 8.56350664852964 6.55956957254445 "T" "F" "T" "F" "F" "F" "F" "F" "F" "F" "F"
"2254" "FBtr0345106" "FBgn0266696" "CG45186" "5.31" 42 "q1" 7.96817951727712 8.55192968535281 6.4987497328299 6.87862114822228 7.23271278752209 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2299" "FBtr0345894" "FBgn0000042" "Act5C" "5.35" 43 "q1" 7.82459977993399 7.90977430135079 7.64685817744341 7.49964363354291 7.04246335965483 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"2192" "FBtr0343291" "FBgn0260747" "CG5010" "5.37" 44 "q1" 8.00470204193554 6.23913803160573 6.25830458126821 6.11791897635948 7.97713780239849 "T" "F" "F" "T" "F" "F" "F" "F" "T" "F" "F"
"1100" "FBtr0086060" "FBgn0033033" "scaf" "5.38" 45 "q1" 6.07804893186116 5.95287808647633 5.87487570183985 5.03922084154028 5.2833232205217 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1403" "FBtr0089771" "FBgn0261649" "tinc" "5.42" 46 "q1" 7.72288394124135 5.32643588743442 5.40125442319118 5.54964229508437 7.15908314473484 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1039" "FBtr0085172" "FBgn0040609" "CG3348" "5.42" 47 "q1" 6.78425473878909 7.03175334848207 5.59845263475923 5.67167036656391 5.91206085367449 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"248" "FBtr0073763" "FBgn0040309" "Jafrac1" "5.44" 48 "q1" 8.45276576580693 7.25895029626594 7.32404967717922 7.47900780337725 8.16449923614955 "T" "F" "F" "F" "F" "F" "F" "F" "F" "T" "F"
"521" "FBtr0077981" "FBgn0031313" "CG5080" "5.47" 49 "q1" 7.38346869768541 6.20128608266114 5.7984958045041 6.63174424339212 7.24638319225405 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"768" "FBtr0081205" "FBgn0032781" "CG9987" "5.49" 50 "q1" 5.34792850243112 4.86386549276507 5.29414077077694 5.58668076345726 5.40895225703725 "T" "F" "F" "F" "F" "F" "F" "F" "T" "F" "F"
"1471" "FBtr0111230" "FBgn0058006" "CG40006" "5.5" 51 "q1" 5.18431352755539 5.17195704538562 4.40994774365284 5.77457882266517 5.64606877038624 "T" "F" "F" "T" "F" "T" "F" "F" "F" "F" "F"
"1123" "FBtr0086308" "FBgn0005655" "PCNA" "5.53" 52 "q1" 7.57518928404984 6.68397810754228 6.21491441160484 6.50672036080948 7.0123189301219 "T" "F" "T" "T" "F" "F" "F" "F" "F" "T" "F"
"802" "FBtr0081639" "FBgn0003884" "alphaTub84B" "5.55" 53 "q1" 9.75847732339949 9.66055800206123 9.81805702615302 10.1252808882855 8.94869995940693 "T" "F" "F" "F" "F" "T" "T" "F" "F" "F" "F"
"2197" "FBtr0343350" "FBgn0030752" "CG9947" "5.57" 54 "q1" 6.73841198182633 5.50638979982589 5.32409918794516 5.76264263077191 6.53088347027812 "T" "F" "T" "F" "F" "F" "F" "F" "F" "T" "F"
"2156" "FBtr0340268" "FBgn0029896" "CG3168" "5.58" 55 "q1" 7.48455968026917 8.0259581133441 7.36141288624827 7.60588286530451 6.12967421905712 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1599" "FBtr0300714" "FBgn0035287" "CG13937" "5.63" 56 "q1" 5.97006913764017 4.98389100891967 5.09972963410072 4.63526033734097 5.41236783418116 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1395" "FBtr0089680" "FBgn0261618" "larp" "5.78" 57 "q1" 7.78201997764924 6.50641813717349 6.1953580914084 6.69350368499994 7.1772153023041 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"633" "FBtr0079235" "FBgn0000308" "chic" "5.86" 58 "q1" 8.41014253813746 7.67373605898325 6.39480168784694 6.99713286127465 7.74314849388406 "T" "F" "F" "T" "F" "T" "F" "F" "F" "F" "F"
"1003" "FBtr0084675" "FBgn0039209" "CG13624" "5.86" 59 "q1" 7.08972623916165 6.63081272637735 5.2025124515432 5.69223968593331 6.656443398818 "T" "F" "F" "F" "T" "F" "F" "F" "F" "F" "F"
"495" "FBtr0077452" "FBgn0261606" "RpL27A" "5.86" 60 "q1" 7.46426214047318 5.7583961124662 7.87941815959839 7.69314334873219 6.87735624017916 "T" "F" "F" "F" "F" "F" "F" "T" "F" "F" "T"
"1332" "FBtr0088844" "FBgn0050377" "CG30377" "5.87" 61 "q1" 5.01267482018853 3.91796840414432 4.17190523783522 4.30678624506106 5.15123040532301 "T" "T" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"545" "FBtr0078235" "FBgn0028978" "trbl" "5.87" 62 "q1" 8.8863185800944 7.45321509518034 6.48578200370247 6.91066735996183 8.46602812993582 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"30" "FBtr0070519" "FBgn0000479" "dnc" "5.88" 63 "q1" 5.66165939088746 5.12243933570681 4.50136979200999 4.9485544584096 5.43613804048656 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1080" "FBtr0085773" "FBgn0039830" "CG1746" "5.92" 64 "q1" 9.02284324199002 7.0777992458879 7.08363677979354 7.05224787022077 8.79360185379677 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1968" "FBtr0333315" "FBgn0000479" "dnc" "5.92" 65 "q1" 5.74988308886691 5.77510892495706 5.54987899327526 5.72398136000063 5.22063249883372 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"286" "FBtr0074279" "FBgn0262734" "Rbp2" "5.96" 66 "q1" 5.97853270400127 5.78545166875568 5.37250786928096 5.50030885564928 6.19407290838366 "T" "F" "F" "T" "F" "F" "F" "F" "T" "F" "F"
"1863" "FBtr0331201" "FBgn0001942" "eIF-4a" "5.97" 67 "q1" 8.57854752070346 8.04618756389131 6.77342618365857 6.45334565771261 7.79887219535692 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1747" "FBtr0305337" "FBgn0037612" "CG8112" "6.02" 68 "q1" 7.23074706368584 6.23275399753322 6.1245235135488 6.48719283437293 5.90376292596243 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1726" "FBtr0304963" "FBgn0000253" "Cam" "6.04" 69 "q1" 9.12100851973933 8.57057387016909 7.20337768186204 7.54631000126033 8.73176364325212 "T" "F" "F" "F" "F" "T" "T" "F" "F" "T" "F"
"818" "FBtr0081958" "FBgn0037646" "CAHbeta" "6.09" 70 "q1" 6.84782731549819 5.68891636403286 5.06906249567481 5.75399895970324 6.26882157754158 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1772" "FBtr0306567" "FBgn0035422" "RpL28" "6.09" 71 "q1" 7.99052529930782 6.26630501864636 9.00643315196783 9.3266064553229 6.59201418192527 "T" "F" "T" "F" "F" "F" "F" "F" "F" "F" "T"
"2047" "FBtr0334867" "FBgn0003525" "stg" "6.1" 72 "q1" 8.81417531841168 9.11732644658037 7.12438878065833 8.02906688580208 7.77793705153373 "T" "F" "F" "F" "F" "F" "T" "F" "F" "F" "F"
"370" "FBtr0075529" "FBgn0000489" "Pka-C3" "6.1" 73 "q1" 3.96631839003828 5.69364103160278 5.55851330333888 5.58794846343635 5.84564631900305 "T" "F" "F" "T" "F" "F" "F" "F" "F" "F" "F"
"2035" "FBtr0334668" "FBgn0037468" "CG1943" "6.16" 74 "q1" 8.36850313457623 6.86170154090467 6.65769795392485 6.36172937777205 7.97087422504946 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
"1710" "FBtr0304022" "FBgn0261975" "CG42806" "6.2" 75 "q1" 8.29238031417371 6.917124162526 6.41595144560636 6.49776244031128 7.72363214943658 "T" "F" "F" "F" "T" "F" "F" "F" "F" "T" "F"
"83" "FBtr0071481" "FBgn0040942" "CG12643" "6.24" 76 "q1" 8.06869981965662 6.95358090393443 6.49639515995352 6.67854929429773 7.58345503371238 "T" "F" "F" "F" "F" "F" "F" "F" "F" "F" "F"
